Population,soil type,alt soil type,no GCN,Root Number,0.25 mm,0.5mm,0.75mm,1mm,1.25mm,1.5mm,1.75mm,2mm,sharpie
S22,MS,MS,MS,1.0,0.517,0.689,0.763,0.812,0.849,0.886,0.923,0.898,0.48355899419729204
S22,MS,MS,MS,2.0,0.517,0.689,0.8,0.862,0.911,0.935,0.96,0.948,0.48355899419729204
S22,MS,MS,MS,3.0,0.468,0.652,0.751,0.812,0.862,0.886,0.911,0.935,0.5341880341880342
S22,MS,MS,MS,4.0,0.48,0.689,0.788,0.874,0.898,0.948,0.972,0.985,0.5208333333333334
S22,MS,MS,MS,5.0,0.615,0.775,0.8,0.849,0.898,0.923,0.898,0.911,0.4065040650406504
S22,MS,MS,MS,6.0,0.542,0.714,0.812,0.862,0.911,0.96,1.009,1.046,0.46125461254612543
S22,MS,MS,MS,7.0,0.542,0.751,0.812,0.886,0.923,0.972,0.997,1.022,0.46125461254612543
S22,MS,MS,MS,8.0,0.468,0.665,0.763,0.837,0.886,0.96,0.96,1.034,0.5341880341880342
S22,MS,MS,MS,9.0,0.505,0.702,0.812,0.874,0.923,0.972,1.022,1.034,0.49504950495049505
S22,MS,MS,MS,10.0,0.455,0.64,0.751,0.812,0.862,0.911,0.935,0.948,0.5494505494505494
S63,MS,MS,MS,1.0,0.517,0.665,0.738,0.788,0.825,0.862,0.874,0.898,0.48355899419729204
S63,MS,MS,MS,2.0,0.542,0.726,0.812,0.874,0.935,0.972,0.997,1.022,0.46125461254612543
S63,MS,MS,MS,3.0,0.542,0.726,0.825,0.886,0.935,0.972,1.009,0.997,0.46125461254612543
S63,MS,MS,MS,4.0,0.529,0.677,0.763,0.812,0.874,0.911,0.935,0.988,0.47258979206049145
S63,MS,MS,MS,5.0,0.505,0.665,0.738,0.788,0.825,0.849,0.874,0.898,0.49504950495049505
S63,MS,MS,MS,6.0,0.554,0.726,0.8,0.862,0.898,0.948,0.948,0.972,0.45126353790613716
S63,MS,MS,MS,7.0,0.517,0.702,0.8,0.849,0.898,0.948,0.96,0.96,0.48355899419729204
S63,MS,MS,MS,8.0,0.468,0.578,0.714,0.763,0.8,0.837,0.849,0.8,0.5341880341880342
S63,MS,MS,MS,9.0,0.492,0.665,0.763,0.825,0.898,0.948,0.985,1.034,0.508130081300813
S63,MS,MS,MS,10.0,0.542,0.714,0.763,0.788,0.837,0.874,0.886,0.911,0.46125461254612543
SM,MS,MS,MS,1.0,0.505,0.689,0.775,0.837,0.874,0.948,0.96,0.972,0.49504950495049505
SM,MS,MS,MS,2.0,0.529,0.702,0.788,0.849,0.886,0.923,0.948,0.948,0.47258979206049145
SM,MS,MS,MS,3.0,0.591,0.738,0.812,0.874,0.923,0.935,0.948,0.972,0.4230118443316413
SM,MS,MS,MS,4.0,0.529,0.714,0.8,0.849,0.923,0.972,0.997,1.009,0.47258979206049145
SM,MS,MS,MS,5.0,0.492,0.652,0.726,0.775,0.788,0.812,0.837,0.849,0.508130081300813
SM,MS,MS,MS,6.0,0.505,0.677,0.738,0.8,0.837,0.862,0.874,0.862,0.49504950495049505
SM,MS,MS,MS,7.0,0.48,0.64,0.738,0.8,0.837,0.886,0.923,0.948,0.5208333333333334
SM,MS,MS,MS,8.0,0.48,0.628,0.726,0.751,0.812,0.837,0.874,0.886,0.5208333333333334
SM,MS,MS,MS,9.0,0.492,0.665,0.775,0.862,0.898,0.923,0.96,0.985,0.508130081300813
SM,MS,MS,MS,10.0,0.455,0.628,0.726,0.775,0.812,0.837,0.874,0.898,0.5494505494505494
